INFILL DENSITY ,SPEED ,LAYER THICKNESS,,LOAD ,YIEL ST ,TENS ST,,
60,80,0.2,,53.14,1.84,8.69,,
40,80,0.2,,41.07,2.65,6.71,,
20,80,0.2,,32.82,2.18,5.36,,
60,60,0.2,,27.85,1.74,4.55,,
40,60,0.2,,37.25,2.51,6.09,,
20,60,0.2,,33.14,2.45,5.42,,
60,40,0.2,,41.230 ,2.08,6.74,,
40,40,0.2,,41.71,2.66,6.82,,
20,40,0.2,,,,,,
60,80,0.16,,53.23,2.01,8.83,,
40,80,0.16,,42.74,1.82,6.99,,
20,80,0.16,,35.1,2.38,5.74,,
60,60,0.16,,52.34,1.94,8.55,,
40,60,0.16,,39.72,2.37,6.49,,
20,60,0.16,,30.28,2.03,4.95,,
60,40,0.16,,57.28,1.890 ,9.36,,
40,40,0.16,,36.81,2.18,6.02,,
20,40,0.16,,30.2,1.96,4.98,,
60,80,0.28,,54.73,8.87,8.95,,
40,80,0.28,,58.52,2.53,9.56,,
20,80,0.28,,50.11,2.19,8.19,,
60,60,0.28,,58.4,9.18,9.55,,
40,60,0.28,,48.44,1.94,7.92,,
20,60,0.28,,36.61,1.99,5.98,,
60,40,0.28,,57.88,2.21,9.46,,
40,40,0.28,,48.72,1.82,7.96,,
20,40,0.28,,53.62,2.54,8.760 ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
